,Unnamed: 0,Name,City,CuisineStyle,Ranking,Rating,PriceRange,NumberofReviews,Reviews,URL_TA,ID_TA,lat,lng
145,145,La Casa De Michael,Amsterdam,"['Italian', 'Vegetarian Friendly', 'Vegan Options']",146,4.5,$$ - $$$,230,"[['Hannah: NSW, Australia', 'Nice and taste place to eat'], ['01/08/2018', '01/04/2018']]",/Restaurant_Review-g188590-d9798024-Reviews-La_Casa_De_Michael-Amsterdam_North_Holland_Province.html,d9798024,52.38444,4.8469
146,146,Restaurant Floreyn,Amsterdam,"['Dutch', 'European', 'Seafood', 'Vegetarian Friendly', 'Gluten Free Options', 'Vegan Options']",147,5,$$ - $$$,81,"[['Everything I want in a restaurant', 'Outstanding cuisine!'], ['01/03/2018', '12/17/2017']]",/Restaurant_Review-g188590-d12527902-Reviews-Restaurant_Floreyn-Amsterdam_North_Holland_Province.html,d12527902,52.35458,4.88793
147,147,Restaurant Haesje Claes,Amsterdam,"['Dutch', 'International', 'European', 'Central European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",148,4,$$ - $$$,3595,"[['Not a bad find!', 'Worth a visit'], ['01/01/2018', '12/04/2017']]",/Restaurant_Review-g188590-d697000-Reviews-Restaurant_Haesje_Claes-Amsterdam_North_Holland_Province.html,d697000,40.79494,-73.96972
148,148,De Blauwe Hollander,Amsterdam,"['German', 'Scandinavian', 'Dutch']",149,4.5,$$ - $$$,1030,"[['Fantastic dutch style cuisine', 'Great dutch cuisine'], ['01/08/2018', '12/28/2017']]",/Restaurant_Review-g188590-d948896-Reviews-De_Blauwe_Hollander-Amsterdam_North_Holland_Province.html,d948896,52.36343,4.8848
149,149,CT coffee & coconuts,Amsterdam,"['Cafe', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",150,4.5,$$ - $$$,603,"[['Good for coffee and food', 'Delish - perfect break spot!'], ['01/03/2018', '01/02/2018']]",/Restaurant_Review-g188590-d7728346-Reviews-CT_coffee_coconuts-Amsterdam_North_Holland_Province.html,d7728346,52.35279,4.8914
150,150,La Luna Steakhouse Grill,Amsterdam,"['Steakhouse', 'Argentinean', 'South American', 'Grill', 'Gluten Free Options']",151,4.5,$$ - $$$,906,"[['Lovley place', 'Lovely restaurant'], ['01/08/2018', '01/07/2018']]",/Restaurant_Review-g188590-d3813787-Reviews-La_Luna_Steakhouse_Grill-Amsterdam_North_Holland_Province.html,d3813787,52.36429,4.8841
151,151,de Luwte,Amsterdam,"['Dutch', 'Mediterranean', 'European', 'International', 'Vegetarian Friendly', 'Gluten Free Options']",152,4.5,$$ - $$$,635,"[['Excellent restaurant with great ambience', 'Great Value for Exceptional Food and Servi...'], ['01/03/2018', '12/25/2017']]",/Restaurant_Review-g188590-d808295-Reviews-De_Luwte-Amsterdam_North_Holland_Province.html,d808295,52.37523,4.88671
152,152,Het Karbeel,Amsterdam,"['Dutch', 'Swiss', 'European', 'Central European', 'Vegetarian Friendly']",153,4,$$ - $$$,809,"[['Nice', 'nice resturant, nice staff'], ['01/01/2018', '12/09/2017']]",/Restaurant_Review-g188590-d1193265-Reviews-Het_Karbeel-Amsterdam_North_Holland_Province.html,d1193265,52.37602,4.8991
153,153,Restaurant Bleu,Amsterdam,"['French', 'International', 'Dutch', 'European', 'Central European', 'Vegetarian Friendly', 'Gluten Free Options']",154,4.5,$$ - $$$,233,"[['Great Place!', 'Excellent food, but some mess-ups from the...'], ['01/02/2018', '01/01/2018']]",/Restaurant_Review-g188590-d10127182-Reviews-Restaurant_Bleu-Amsterdam_North_Holland_Province.html,d10127182,52.3777,4.88731
154,154,Lucius Seafood Restaurant,Amsterdam,"['Dutch', 'Seafood', 'European', 'Soups', 'Vegetarian Friendly', 'Gluten Free Options']",155,4,$$ - $$$,1239,"[['Lovely family style seafood restaurant', 'Looking for Great Seafood?'], ['01/07/2018', '12/23/2017']]",/Restaurant_Review-g188590-d1045616-Reviews-Lucius_Seafood_Restaurant-Amsterdam_North_Holland_Province.html,d1045616,52.32424,4.88434
